,Friedel_et_al_B_cells,Tani_et_al_Hela,Schofield_et_al_K562,Mele_et_al_K562,Mele_et_al_H1-ESC,Wu_et_al_K562,Wu_et_al_293T,Arango_et_al_Hela,Wachutka_et_al_K562
ENSG00000000003,,,,,,,0.0378519898959405,24.0,
ENSG00000000005,,,,,9.616702,,,,
ENSG00000000419,436.1,4.67,3.05175,11.198839999999999,11.697796666666667,-0.134487207,0.0311036229970775,5.33254976293979,244.52931511312198
ENSG00000000457,78.5,2.35,,1.8784556666666667,2.232094,-0.255763813,-0.0382607963453855,2.31738789726795,71.7096866963157
ENSG00000000460,1154.8,3.23,,4.654573,5.888216666666666,-0.120723799,0.0287815760703524,3.27938956680928,136.986106624823
ENSG00000000938,231.3,,,,,,,,
ENSG00000000971,,,5.54055,14.485273333333334,,,,,2603.0562059423
ENSG00000001036,,,5.7842,10.422526666666666,,-0.032259982,0.0465161216657108,,857.788719454278
ENSG00000001084,271.2,4.16,,,,-0.183433291,-0.0165513883334771,2.87872323538904,333.756168340701
ENSG00000001167,175.5,2.44,0.3658,1.4426736666666666,1.1901033333333333,-0.256057095,-0.028342506909632,2.55533292761417,201.14536190253602
ENSG00000001460,,2.82,,2.851561333333333,3.6517816666666665,-0.239344836,-0.0448917976755647,2.73967147555329,
ENSG00000001461,,8.13,,2.779257,3.607016,-0.09012488,0.0214103150164794,3.23709208461429,
ENSG00000001497,563.4,14.55,5.0342,16.886296666666667,23.288610000000002,,0.04584265219736,5.84138246522891,1000.44299770877
ENSG00000001561,265.8,,,,,,0.00563373159228914,,
ENSG00000001617,,3.39,,3.081967333333333,5.148350999999999,,-0.0172697394913319,4.42202878122226,
ENSG00000001629,291.0,,0.78965,2.4449436666666666,4.957915333333333,-0.198616468,0.00402316551092335,3.27623972703619,302.035927947039
ENSG00000001630,297.1,10.94,,4.948934666666666,7.342786666666666,-0.069130962,0.0248868381669635,3.84889863804273,988.266032282021
ENSG00000001631,698.8,2.86,,3.2599590000000003,8.911455333333334,-0.132337846,0.00117363488558482,2.80795214595424,188.782266380818
ENSG00000002016,,2.47,,0.9218824333333334,,-0.13962999,-0.0697332093349881,2.2747781706252,
ENSG00000002330,687.5,10.2,,,,,0.0363950950820484,5.3581300105214,
ENSG00000002549,801.4,17.4,,16.847916666666666,,-0.064714138,0.0487412467203693,10.5852281057829,333.87405426119597
ENSG00000002586,1922.3,,,,,,0.0566083573715072,,
ENSG00000002587,,,,,1.3914635333333336,,,,
ENSG00000002746,,2.63,,,3.419454333333333,,,2.75379315634396,
ENSG00000002822,211.1,2.7,1.29725,3.8710470000000003,2.966859,-0.104607768,-0.00140441028380094,2.78674492673345,73.16778484401651
ENSG00000002834,375.9,7.72,3.6977,,,-0.088135592,0.0114435160275403,3.55151830952802,360.445848827509
ENSG00000002919,71.8,3.23,,5.588244333333333,4.655254333333333,-0.113081958,0.0089914314676992,2.44526461795673,207.565981258852
ENSG00000003056,522.2,8.9,1.46475,5.991976333333334,21.080996666666667,-0.041437242,0.0224347846386719,5.15714476455577,351.056488878407
ENSG00000003096,484.1,6.86,,5.389071666666666,12.101396666666666,,0.0346861348088798,3.53020293734751,
ENSG00000003137,,2.56,,,,,-0.0165975496758874,2.90999404281631,
ENSG00000003147,,,,8.944803,13.625633333333333,,0.0329145076038403,3.33472571806288,171.160098846511
ENSG00000003249,,8.25,,9.587821333333332,10.437645000000002,,0.0376558058411879,4.88249784731675,
ENSG00000003393,,3.7,1.1497000000000002,3.4050816666666663,,-0.176272787,-0.0114671691067053,2.81167117020819,399.06688114550906
ENSG00000003400,,3.45,,3.467231333333333,5.457356333333333,-0.137935458,0.0198303101650548,2.54741012839581,356.09425751302103
ENSG00000003402,249.3,3.64,0.9751500000000001,,,-0.11043991,-0.0167753307648821,2.49362656190611,295.089268522486
ENSG00000003436,,13.71,4.639900000000001,10.747532,,-0.123447627,0.0632175978050305,9.53357558988223,451.300955746375
ENSG00000003509,,7.5,,3.187485,2.913902333333333,-0.09461643,0.000404334599672591,3.36046009158973,309.740066733883
ENSG00000003756,148.1,2.63,0.68555,1.894934,3.0950580000000003,-0.219191862,-0.0650629379844291,2.33503892233364,106.956715307846
ENSG00000003987,,,,,6.299578,,-0.0534219396681146,,
ENSG00000003989,,6.09,,,6.913097666666666,,0.0380807554014697,2.67168906870978,
ENSG00000004059,788.6,,,,,,0.0529728593445176,,823.922633665995
ENSG00000004139,,3.33,,,,,-0.0356406035760974,4.68065546797153,41.0245191476382
ENSG00000004142,468.6,16.8,,11.613666666666667,22.746303333333334,-0.062612795,0.0487577890109569,6.30123814373965,481.800006608535
ENSG00000004399,,2.9,,5.404055333333333,,,0.0558062452305398,4.10241819722621,1086.98054375266
ENSG00000004455,794.8,15.14,5.3825,15.845149999999999,8.605166333333335,,0.03421118519908,7.02349070729673,918.4486788901871
ENSG00000004468,1208.8,,,,,,,,
ENSG00000004478,543.8,12.38,5.125249999999999,8.003427,9.685875666666666,-0.041831194,0.0274971632897488,6.41674601409242,1246.2852511358099
ENSG00000004487,,12.29,5.65105,5.805520666666666,9.282659666666667,-0.156164883,0.0390829176506926,3.90312316481728,447.085953889913
ENSG00000004534,442.5,4.8,2.6369,5.093342666666667,,-0.113161333,-0.00516313223207245,3.26358273063589,280.95273119768797
ENSG00000004660,266.0,2.67,,2.675227666666667,,-0.096853571,-0.0297741195917647,2.40747430228078,
ENSG00000004700,695.5,10.0,,,,-0.083166767,0.057874327618135,6.38525716366738,533.54866201404
ENSG00000004766,,3.13,,4.0880730000000005,5.814615333333333,-0.125793227,-0.00528316798116934,,251.80152519593702
ENSG00000004777,,,,,,,0.110262224100293,3.19083615825971,
ENSG00000004779,514.0,19.71,6.20575,,,-0.060601481,0.0442382710879193,13.3996530688524,416.654150868833
ENSG00000004799,,2.33,,,,,0.00888474981819212,2.46583646295613,
ENSG00000004838,,2.13,,,,,-0.00351432340525276,3.07306417730054,
ENSG00000004864,441.5,10.82,5.7372,7.881688666666666,,-0.114028364,0.037333206766325,4.58607502155123,234.050693138571
ENSG00000004866,248.9,3.51,,2.756091,6.770929333333334,-0.129318022,0.00569781193675119,3.87365892660039,146.374818811952
ENSG00000004897,324.4,6.26,1.375,2.2584346666666666,3.901324666666667,-0.159059887,-0.0236713581490356,3.14524230935473,265.444851984403
ENSG00000004939,,,,9.624494666666665,,,,,
ENSG00000004948,,,,,6.934485,,,,
ENSG00000004961,289.6,3.13,2.4213,4.500476666666667,3.601300666666667,-0.119380119,0.0058549177797145,3.77254728383663,219.991537815516
ENSG00000004975,481.6,6.42,,3.4399653333333333,,-0.077629421,0.0196793970610928,3.24838185181832,273.597009734642
ENSG00000005007,139.9,4.21,1.5901,6.5994893333333335,,-0.130712149,-0.0240241334109751,3.08544170061315,272.018215290184
ENSG00000005020,2163.2,3.85,,,,-0.101968675,0.0463629513258742,6.02338946934018,
ENSG00000005022,369.4,,7.8589,18.79486333333333,15.720546666666666,-0.056959493,0.0535942215816412,,692.191638629199
ENSG00000005059,,11.44,,18.77834,,-0.078209097,0.0562283160732507,,
ENSG00000005073,,2.47,,,,,-0.136539695584022,2.93869809247464,
ENSG00000005075,413.6,19.13,,,,-0.024015029,0.0436577777355038,7.44543930978266,610.613256289203
ENSG00000005100,307.9,6.58,,2.2231383333333334,5.294636666666666,-0.150490608,0.00563588120257516,2.90691009359969,284.945196397588
ENSG00000005102,,,,,,,,2.42013580789094,
